,Corners,Fouls Committed,Fouls Wons,Goals,Offsides,Pass Completion,Possesion,Red Cards,Shot Attempts,Shots Blocked,Total Passes,Total Shots on Target,Total xG,Under Pressure,Yellow Cards,fh_winner,target
219,-1.0,-1.0,-1.0,-3.0,0.0,-0.10199999999999998,-0.10200000000000004,0.0,4.0,2.0,-50.0,2.0,-1.5941955349999999,0.04600000000000001,1.0,2,2
220,4.0,-1.0,-1.0,-1.0,1.0,0.15100000000000002,0.43,0.0,3.0,1.0,232.0,0.0,0.18691434499999998,-0.013999999999999985,0.0,2,2
221,2.0,0.0,1.0,-1.0,-2.0,-0.14,-0.37400000000000005,0.0,-2.0,0.0,-198.0,2.0,-0.6338767390000001,0.032,0.0,2,2
222,4.0,0.0,-1.0,1.0,-1.0,0.133,0.45399999999999996,0.0,6.0,3.0,276.0,3.0,0.38169388600000004,-0.08499999999999999,0.0,1,0
223,3.0,-4.0,-1.0,2.0,2.0,0.15599999999999992,0.37400000000000005,0.0,9.0,6.0,190.0,1.0,1.2541494790000003,-0.023000000000000007,-1.0,1,1
224,4.0,2.0,-5.0,0.0,0.0,-0.09499999999999997,-0.422,0.0,6.0,2.0,-204.0,1.0,0.11358698299999992,-0.126,-1.0,0,0
225,-1.0,-1.0,2.0,-2.0,-3.0,-0.08499999999999996,-0.20999999999999996,0.0,-1.0,-1.0,-118.0,2.0,-1.1652557259999998,0.132,-1.0,2,2
226,-1.0,0.0,0.0,0.0,0.0,-0.123,-0.38199999999999995,0.0,-7.0,-3.0,-213.0,-3.0,-0.38797985,-0.026999999999999996,0.0,0,0
227,3.0,-2.0,1.0,2.0,-1.0,0.19600000000000006,0.522,0.0,6.0,2.0,312.0,1.0,1.092772904,-0.103,0.0,1,1
228,2.0,-6.0,7.0,0.0,-1.0,0.16900000000000004,0.46199999999999997,-1.0,5.0,3.0,207.0,-1.0,0.7109981909999998,0.019000000000000017,-3.0,0,1
229,1.0,4.0,-3.0,-1.0,0.0,-0.19599999999999995,-0.39599999999999996,0.0,-4.0,1.0,-204.0,-2.0,-0.862443119,0.155,0.0,2,2
230,-1.0,3.0,-3.0,1.0,1.0,-0.19099999999999995,-0.40199999999999997,0.0,-2.0,-2.0,-216.0,1.0,0.14225839399999995,0.153,2.0,1,1
231,-6.0,2.0,-2.0,-2.0,0.0,-0.23099999999999998,-0.562,0.0,-10.0,-5.0,-306.0,-2.0,-1.4060299715,-0.0040000000000000036,-1.0,2,2
232,4.0,-4.0,1.0,1.0,4.0,0.04800000000000004,0.174,0.0,11.0,1.0,87.0,4.0,1.5097645279999998,0.015999999999999986,1.0,1,1
233,-1.0,-2.0,3.0,2.0,0.0,0.05699999999999994,0.12599999999999995,0.0,-2.0,1.0,62.0,-3.0,-0.28275405599999986,0.03,-1.0,1,1
234,-1.0,0.0,0.0,-1.0,1.0,-0.16499999999999992,-0.326,0.0,-4.0,-1.0,-160.0,1.0,-1.2809704929999999,-0.22899999999999998,1.0,2,2
235,0.0,-1.0,2.0,1.0,2.0,0.12,0.35000000000000003,0.0,3.0,2.0,178.0,0.0,1.002288179,-0.21799999999999997,-2.0,1,1
236,2.0,-1.0,1.0,3.0,-2.0,0.10899999999999999,0.248,0.0,7.0,2.0,142.0,1.0,0.46046874600000004,-0.05399999999999999,0.0,1,1
237,3.0,0.0,4.0,-1.0,4.0,0.237,0.45599999999999996,0.0,-1.0,-1.0,216.0,1.0,0.15554251799999985,0.033,-1.0,2,1
238,0.0,0.0,-3.0,0.0,0.0,0.04799999999999993,0.11000000000000004,0.0,-2.0,1.0,59.0,-3.0,-0.155774572,-0.14,0.0,0,0
239,-2.0,1.0,3.0,1.0,1.0,-0.16199999999999992,-0.30600000000000005,0.0,-2.0,-1.0,-158.0,-2.0,-0.392351566,0.11699999999999999,2.0,1,1
240,1.0,-2.0,1.0,2.0,-2.0,0.031000000000000028,0.07,0.0,-3.0,-1.0,38.0,-3.0,0.8887862849999998,-0.056999999999999995,0.0,1,1
241,0.0,1.0,-3.0,0.0,0.0,-0.16799999999999993,-0.29400000000000004,0.0,-3.0,-2.0,-169.0,0.0,0.029824932999999998,-0.03899999999999998,1.0,0,2
242,2.0,-3.0,3.0,1.0,0.0,0.125,0.37200000000000005,0.0,7.0,3.0,217.0,0.0,0.8421609819999999,-0.136,0.0,1,1
243,3.0,1.0,-2.0,0.0,1.0,-0.10400000000000009,-0.15999999999999998,0.0,1.0,3.0,-67.0,-2.0,0.025293827999999907,-0.125,0.0,0,2
244,6.0,-4.0,3.0,2.0,-1.0,0.1050000000000001,0.12400000000000005,0.0,11.0,4.0,65.0,4.0,1.1620474440000002,0.06,-1.0,1,1
245,6.0,2.0,2.0,0.0,-1.0,0.052000000000000046,0.038000000000000034,0.0,7.0,-1.0,18.0,3.0,0.763969915,0.017999999999999988,0.0,0,0
246,1.0,-1.0,-1.0,2.0,1.0,0.14100000000000001,0.38799999999999996,0.0,7.0,2.0,195.0,0.0,-0.08617754499999997,-0.045000000000000005,-2.0,1,1
247,1.0,-1.0,1.0,3.0,0.0,0.08899999999999997,0.34400000000000003,0.0,9.0,0.0,189.0,3.0,1.875470653,-0.043,0.0,1,1
248,1.0,-1.0,0.0,1.0,-1.0,0.135,0.414,0.0,4.0,4.0,247.0,-1.0,0.8405162429999999,-0.16699999999999998,0.0,1,1
249,6.0,-3.0,1.0,0.0,-1.0,0.19699999999999995,0.426,0.0,6.0,3.0,231.0,2.0,0.316759509,0.0050000000000000044,-1.0,0,1
250,4.0,-3.0,4.0,3.0,-1.0,0.20499999999999996,0.504,0.0,8.0,1.0,245.0,1.0,2.1264482620000003,-0.040999999999999995,-2.0,1,1
251,0.0,-1.0,3.0,0.0,0.0,-0.21199999999999997,-0.44399999999999995,1.0,-2.0,0.0,-208.0,0.0,-0.14311035,0.006000000000000005,0.0,0,2
252,-1.0,1.0,-4.0,0.0,0.0,0.138,0.334,0.0,1.0,0.0,176.0,0.0,-0.03191715099999992,-0.07200000000000001,1.0,0,2
253,-1.0,3.0,-1.0,-2.0,-1.0,-0.19800000000000006,-0.36400000000000005,0.0,2.0,1.0,-211.0,1.0,-0.0041019330000000576,0.14900000000000002,1.0,2,2
254,-2.0,-3.0,3.0,1.0,0.0,0.14100000000000001,0.38199999999999995,-1.0,1.0,2.0,191.0,0.0,0.281344729,-0.123,-3.0,1,1
255,-3.0,0.0,0.0,-2.0,-2.0,-0.03600000000000003,-0.08600000000000002,1.0,-6.0,-3.0,-36.0,1.0,-0.911933941,-0.07600000000000001,0.0,2,2
256,2.0,-2.0,3.0,1.0,0.0,0.23199999999999998,0.40599999999999997,0.0,3.0,0.0,221.0,0.0,0.530756994,0.046999999999999986,-1.0,1,1
257,3.0,2.0,-3.0,0.0,-1.0,-0.14900000000000002,-0.35400000000000004,0.0,6.0,3.0,-165.0,0.0,-0.935146204,0.043,0.0,0,2
258,5.0,-4.0,4.0,1.0,0.0,0.17900000000000005,0.35000000000000003,0.0,5.0,1.0,161.0,1.0,0.7755933550000003,0.065,-2.0,1,1
259,0.0,-2.0,2.0,1.0,-1.0,0.17200000000000004,0.424,0.0,2.0,2.0,229.0,-2.0,0.37538778400000006,-0.05099999999999999,-1.0,1,1
260,5.0,-6.0,9.0,0.0,-1.0,0.265,0.38999999999999996,0.0,7.0,1.0,172.0,5.0,0.3886643340000001,0.07400000000000001,-1.0,0,1
261,0.0,1.0,2.0,0.0,2.0,-0.236,-0.496,0.0,-4.0,-2.0,-261.0,-1.0,-1.063147266,-0.185,0.0,0,2
262,-2.0,1.0,-2.0,0.0,0.0,-0.19499999999999995,-0.322,0.0,-5.0,-2.0,-173.0,-1.0,-0.924449182,0.011999999999999997,-1.0,0,0
263,2.0,-1.0,1.0,1.0,-1.0,0.19099999999999995,0.39399999999999996,0.0,10.0,1.0,201.0,2.0,0.5803382380000001,0.069,-1.0,1,0
264,1.0,1.0,-2.0,2.0,2.0,0.04400000000000004,0.19199999999999995,0.0,2.0,-1.0,98.0,2.0,0.930639021,0.037000000000000005,-2.0,1,1
265,-1.0,-1.0,0.0,-1.0,0.0,-0.30800000000000005,-0.6140000000000001,0.0,-6.0,0.0,-315.0,-4.0,-0.44330423500000005,0.043999999999999984,0.0,2,2
266,-3.0,2.0,-1.0,-2.0,-1.0,-0.252,-0.44599999999999995,0.0,-6.0,1.0,-193.0,-4.0,-1.333182423,0.063,-1.0,2,2
267,-1.0,-2.0,2.0,1.0,2.0,-0.19599999999999995,-0.45999999999999996,0.0,-2.0,0.0,-253.0,-2.0,-0.38115457899999994,0.001999999999999974,0.0,1,1
268,0.0,0.0,0.0,-2.0,0.0,-0.051000000000000045,-0.246,0.0,-3.0,-1.0,-140.0,2.0,-0.8880671030000001,-0.07100000000000001,1.0,2,2
269,-2.0,3.0,-5.0,0.0,-3.0,-0.30300000000000005,-0.46799999999999997,0.0,-2.0,0.0,-202.0,0.0,-0.13740241,0.072,2.0,0,0
270,2.0,-1.0,0.0,2.0,1.0,0.23299999999999998,0.5,-1.0,9.0,0.0,260.0,0.0,1.7499916089999998,0.040999999999999995,0.0,1,1
271,6.0,1.0,-1.0,2.0,0.0,0.127,0.36400000000000005,0.0,7.0,-1.0,176.0,2.0,2.625336317,-0.11199999999999999,-1.0,1,1
272,4.0,4.0,-1.0,-2.0,-2.0,-0.135,-0.45799999999999996,0.0,-1.0,-1.0,-278.0,0.0,-0.9949845300000001,-0.121,1.0,2,2
273,-2.0,-5.0,6.0,1.0,2.0,0.19599999999999995,0.37599999999999995,0.0,3.0,1.0,162.0,1.0,1.823786376,-0.015000000000000013,-1.0,1,1
274,-4.0,0.0,0.0,0.0,1.0,-0.122,-0.40399999999999997,0.0,-2.0,-1.0,-218.0,-2.0,-0.69407676,0.07900000000000001,1.0,0,2
275,0.0,-1.0,-1.0,0.0,1.0,-0.14500000000000002,-0.37599999999999995,0.0,4.0,1.0,-177.0,0.0,0.30300798000000007,0.178,0.0,0,2
276,1.0,-1.0,1.0,0.0,0.0,0.19899999999999995,0.39999999999999997,0.0,1.0,0.0,218.0,2.0,-0.57467527,-0.169,-1.0,0,1
277,0.0,0.0,-1.0,-2.0,0.0,-0.10699999999999998,-0.242,0.0,-8.0,-3.0,-155.0,0.0,-1.552874852,0.009000000000000008,0.0,2,2
278,-3.0,0.0,-1.0,2.0,2.0,-0.01200000000000001,-0.040000000000000036,0.0,5.0,0.0,-21.0,-2.0,0.36537300800000005,-0.0040000000000000036,-1.0,1,1
279,1.0,-2.0,-1.0,-1.0,0.0,-0.014000000000000012,-0.12599999999999995,0.0,3.0,2.0,-64.0,-2.0,-1.3157854555,0.082,-1.0,2,2
280,3.0,-1.0,2.0,0.0,-1.0,0.124,0.37999999999999995,0.0,11.0,4.0,204.0,3.0,0.9605466550000001,-0.098,-1.0,0,1
281,-1.0,-1.0,4.0,0.0,1.0,0.08800000000000008,0.19799999999999995,0.0,1.0,0.0,87.0,0.0,-0.310092071,-0.149,-3.0,0,1
282,4.0,1.0,-3.0,-1.0,1.0,0.14900000000000002,0.38599999999999995,0.0,10.0,5.0,193.0,4.0,1.307405495,-0.02099999999999999,0.0,2,0
283,2.0,-2.0,4.0,1.0,0.0,0.16000000000000003,0.424,0.0,5.0,2.0,239.0,2.0,0.693418969,0.034,-1.0,1,1
284,-1.0,0.0,0.0,0.0,-1.0,-0.22999999999999998,-0.432,0.0,-3.0,-2.0,-220.0,1.0,-0.327842916,0.08399999999999999,0.0,0,0
285,0.0,-4.0,4.0,5.0,-1.0,0.254,0.562,0.0,9.0,1.0,312.0,-1.0,1.36010857,0.045999999999999985,0.0,1,1
286,7.0,0.0,0.0,3.0,0.0,0.09899999999999998,0.508,0.0,2.0,0.0,269.0,-1.0,1.135068919,-0.003999999999999997,-1.0,1,1
287,-1.0,-2.0,5.0,1.0,0.0,0.01200000000000001,0.12400000000000005,0.0,0.0,2.0,62.0,-1.0,0.7735405240000001,0.068,0.0,1,1
288,-2.0,0.0,0.0,0.0,0.0,0.031000000000000028,0.09600000000000003,0.0,-2.0,-1.0,48.0,-1.0,0.18273812,-0.08300000000000002,-2.0,0,1
289,-1.0,-1.0,2.0,1.0,0.0,0.21299999999999997,0.5700000000000001,0.0,9.0,1.0,355.0,4.0,0.900514051,-0.16599999999999998,0.0,1,0
290,1.0,0.0,-2.0,0.0,0.0,-0.25,-0.48,0.0,-7.0,-3.0,-269.0,0.0,-1.196076945,-0.061,0.0,0,0
